feature_id,category,feature
642,actor,Anne Baxter
643,actor,Anne Bobby
644,actor,Anne Byrne (actress)
645,actor,Anne Canovas
646,actor,Anne Cornwall
647,actor,Anne Dorval
648,actor,Anne Francis
649,actor,Anne Haney
650,actor,Anne Hathaway
651,actor,Anne Heche
652,actor,Anne Marie McEvoy
653,actor,Anne Meara
654,actor,Anne Ramsey
655,actor,Anne Reid
656,actor,Anne Revere
657,actor,Anne Ryan (actress)
658,actor,Anne Twomey (actor)
659,actor,Anne Wiazemsky
660,actor,Anne-Marie Duff
661,actor,Anne-Marie Johnson
662,actor,Annet Mahendru
663,actor,Annette Bening
664,actor,Annette Crosbie
665,actor,Annette Funicello
666,actor,'Annette O''Toole'
667,actor,Annie Corley
668,actor,Annie Golden
669,actor,Annie McEnroe
670,actor,Annie Mumolo
671,actor,Annie Parisse
672,actor,Annie Potts
673,actor,Annie Ross
674,actor,Another Bad Creation
675,actor,Ansel Elgort
676,actor,Anson Mount
677,actor,'Anthony ''Scooter'' Teague'
678,actor,Anthony Anderson
679,actor,Anthony Barrile
680,actor,Anthony Carrigan (actor)
681,actor,Anthony Daniels
682,actor,Anthony Dawson
683,actor,Anthony DeSando
684,actor,Anthony Edwards (actor)
685,actor,Anthony Eisley
686,actor,Anthony Franciosa
687,actor,Anthony Gonzalez (actor)
688,actor,Anthony Griffith (actor)
689,actor,Anthony Hayes (actor)
690,actor,Anthony Head
691,actor,Anthony Heald
692,actor,Anthony Higgins (actor)
693,actor,Anthony Hopkins
694,actor,Anthony James (actor)
695,actor,Anthony Johnson (actor)
696,actor,Anthony LaPaglia
697,actor,Anthony Mackie
698,actor,Anthony Michael Hall
699,actor,Anthony Newley
700,actor,Anthony Peck
701,actor,Anthony Perkins
702,actor,Anthony Quayle
703,actor,Anthony Quinn
704,actor,Anthony Rapp
705,actor,Anthony Starke
706,actor,Anthony Steel (actor)
707,actor,Anthony Wager
708,actor,Anthony Wong (Hong Kong actor)
709,actor,Anthony Zerbe
710,actor,Antje Traue
711,actor,Antoine Olivier Pilon
712,actor,Anton Lesser
713,actor,Anton Rodgers
714,actor,Anton Walbrook
715,actor,Anton Yelchin
716,actor,Antonia Franceschi
717,actor,Antonia Santilli
718,actor,Antonia Thomas
719,actor,Antonio Banderas
720,actor,Antonio Cifariello
721,actor,Antonio Fargas
722,actor,Antonio Sabàto Jr.
723,actor,Antonio Tarver
724,actor,Antony Sher
725,actor,Antônio Fagundes
726,actor,Anupam Kher
727,actor,Anushka Sharma
728,actor,Anya Taylor-Joy
729,actor,Aoi Miyazaki
730,actor,Aoi Yūki
731,actor,Aomi Muyock
732,actor,Apisit Opasaimlikit
733,actor,Apollonia Kotero
734,actor,April Bowlby
735,actor,April Winchell
736,actor,Arabella Holzbog
737,actor,Araceli Segarra
738,actor,Aran Bell
739,actor,Archie Hahn (actor)
740,actor,Archie Panjabi
741,actor,Arden Myrin
742,actor,Ardon Bess
743,actor,Aretha Franklin
744,actor,Ari Cohen
745,actor,Ari Graynor
746,actor,Arian Moayed
747,actor,Ariana Richards
748,actor,Ariane Koizumi
749,actor,Ariane Labed
750,actor,Arie Verveen
751,actor,Ariel Gade
752,actor,Ariel Levy (actor)
753,actor,Ariel Schulman
754,actor,Ariel Winter
755,actor,Arielle Kebbel
756,actor,Aries Spears
757,actor,Arija Bareikis
758,actor,Arjun Mathur
759,actor,Arleen Sorkin
760,actor,Arlen Escarpeta
761,actor,Arlene Dahl
762,actor,Arlene Francis
763,actor,Arlene Golonka
764,actor,Arliss Howard
765,actor,Armand Assante
766,actor,Armando Brancia
767,actor,Armie Hammer
768,actor,Armin Mueller-Stahl
769,actor,Arnetia Walker
770,actor,Arno Frisch
771,actor,Arnold Johnson (actor)
772,actor,Arnold Ridley
773,actor,Arnold Schwarzenegger
774,actor,Arnold Stang
775,actor,Arnold Vosloo
776,actor,Aron Eisenberg
777,actor,Aron Warner
778,actor,Arsenio Hall
779,actor,Arsher Ali
780,actor,Arsinée Khanjian
781,actor,Art Carney
782,actor,Art Evans (actor)
783,actor,Art Garfunkel
784,actor,Art Hindle
785,actor,Art Hsu
786,actor,Art Malik
787,actor,Art Metrano
788,actor,Art Parkinson
789,actor,Arthur Agee
790,actor,Arthur Brown (musician)
791,actor,Arthur Byron
792,actor,Arthur Chesney
793,actor,Arthur Franz
794,actor,Arthur Hill (Canadian actor)
795,actor,Arthur Hunnicutt
796,actor,Arthur Kennedy
797,actor,Arthur Kennedy (actor)
798,actor,Arthur Lowe
799,actor,Arthur Malet
800,actor,'Arthur O''Connell'
801,actor,Arthur Treacher
802,actor,Artie Lange
803,actor,Artus de Penguern
804,actor,Artyom Bystrov
805,actor,Arundathi Nag
806,actor,Aryana Engineer
807,actor,Arye Gross
808,actor,Asa Butterfield
809,actor,Ashanti (singer)
810,actor,Ashleigh Aston Moore
811,actor,Ashley Bell (actress)
812,actor,Ashley Benson
813,actor,Ashley C. Williams
814,actor,Ashley Crow
815,actor,Ashley Greene
816,actor,Ashley Hinshaw
817,actor,Ashley Jensen
818,actor,Ashley Johnson (actress)
819,actor,Ashley Judd
820,actor,Ashley Laurence
821,actor,Ashley Olsen
822,actor,Ashley Palmer (actress)
823,actor,Ashley Rickards
824,actor,Ashley Scott
825,actor,Ashley Springer
826,actor,Ashley Tisdale
827,actor,Ashley Williams (actress)
828,actor,Ashlie Atkinson
829,actor,Ashraf Barhom
830,actor,Ashton Holmes
831,actor,Ashton Kutcher
832,actor,Asia Argento
833,actor,Asif Basra
834,actor,Assumpta Serna
835,actor,Astron-6
836,actor,Atticus Shaffer
837,actor,Aubrey Plaza
838,actor,Audie England
839,actor,Audie Murphy
840,actor,Audra Lindley
841,actor,Audra McDonald
842,actor,Audrey Dalton
843,actor,Audrey Hepburn
844,actor,Audrey Long
845,actor,Audrey Tautou
846,actor,Audrey Wasilewski
847,actor,August Diehl
848,actor,August Schellenberg
849,actor,August Zirner
850,actor,Auliʻi Cravalho
851,actor,Aunjanue Ellis
852,actor,Aura Garrido
853,actor,Aurélien Recoing
854,actor,Austin Abrams
855,actor,'Austin O''Brien'
856,actor,Austin Pendleton
857,actor,Austin St. John
858,actor,Austin Stoker
859,actor,Autumn Reeser
860,actor,Ava Fabian
861,actor,Ava Gardner
862,actor,Avery Brooks
863,actor,Avery Schreiber
864,actor,Aviva (actress)
865,actor,Aya Cash
866,actor,Aya Okamoto
867,actor,Aya Uchida
868,actor,Aya Ueto
869,actor,Ayahi Takagaki
870,actor,Ayako Fujitani
871,actor,Ayana Taketatsu
872,actor,Ayelet Zurer
873,actor,Ayesha Dharker
874,actor,Ayrton Senna
875,actor,Ayumi Ito
876,actor,Aziz Ansari
877,actor,Azura Skye
878,actor,B. Constance Barry
879,actor,B. D. Wong
880,actor,B. J. Novak
881,actor,B. J. Ward (actress)
882,actor,B.B. King
883,actor,B.D. Wong
884,actor,B.S. Pully
885,actor,BD Wong
886,actor,Baard Owe
887,actor,Babe Ruth
888,actor,Babou Ceesay
889,actor,Baby LeRoy
890,actor,Bae Doona
891,actor,Bahar Soomekh
892,actor,Bai Ling
893,actor,Bailee Madison
894,actor,Balthazar Getty
895,actor,Bam Margera
896,actor,Banksy
897,actor,Barbara Bach
898,actor,Barbara Barrie
899,actor,Barbara Bates
900,actor,Barbara Baxley
901,actor,Barbara Bel Geddes
902,actor,Barbara Bouchet
903,actor,Barbara Britton
904,actor,Barbara Carrera
905,actor,Barbara Cook
906,actor,Barbara Crampton
907,actor,Barbara Cupisti
908,actor,Barbara Eden
909,actor,Barbara Ferris
910,actor,Barbara Hale
911,actor,Barbara Harris (actress)
912,actor,Barbara Hershey
913,actor,Barbara Jo Allen
914,actor,Barbara Lawrence
915,actor,Barbara Luddy
916,actor,Barbara Magnolfi
917,actor,Barbara Nedeljáková
918,actor,Barbara Nichols
919,actor,Barbara Rush
920,actor,Barbara Shelley
921,actor,Barbara Stanwyck
922,actor,Barbara Steele
923,actor,Barbara Sukowa
924,actor,Barbara Trentham
925,actor,Barbie Shu
926,actor,Barboura Morris
927,actor,Barbra Streisand
928,actor,Barkhad Abdi
929,actor,Barnard Hughes
930,actor,Barney Clark (actor)
931,actor,Barret Oliver
932,actor,Barrie Chase
933,actor,Barrie Dunn
934,actor,Barrie Ingham
935,actor,Barry Atsma
936,actor,Barry Bostwick
937,actor,Barry Corbin
938,actor,Barry Dennen
939,actor,Barry Fitzgerald
940,actor,Barry Foster (actor)
941,actor,Barry Gordon
942,actor,Barry Humphries
943,actor,Barry Keoghan
944,actor,Barry MacKay (actor)
945,actor,Barry McCaffrey
946,actor,Barry McEvoy
947,actor,Barry McGee
948,actor,Barry McGovern
949,actor,Barry Miller (actor)
950,actor,Barry Nelson (actor)
951,actor,Barry Newman
952,actor,Barry Otto
953,actor,Barry Pepper
954,actor,Barry Primus
955,actor,Barry Shabaka Henley
956,actor,Barry Sullivan (American actor)
957,actor,Barry Sullivan (actor)
958,actor,Barry Watson (actor)
959,actor,Barton MacLane
960,actor,Baruch Lumet
961,actor,Bas Rutten
962,actor,Basil Rathbone
963,actor,Basil Ruysdael
964,actor,Basil Sydney
965,actor,Bassem Youssef
966,actor,Beah Richards
967,actor,Beanie Feldstein
968,actor,Beanie Sigel
969,actor,Beatrice Campbell
