dimension,category
248,"""Michael Pearson, 4th Viscount Cowdray"""
249,"""Monsters, Inc."""
250,"""Mystic, Connecticut"""
251,"""Natchitoches, Louisiana"""
252,"""Navarre, Florida"""
253,"""Nick Adams (actor, born 1931)"""
254,"""North Beach, San Francisco"""
255,"""Not Drowning, Waving"""
256,"""OLM, Inc. animated films"""
257,"""OLM, Inc."""
258,"""Odessa, Texas"""
259,"""Ojai, California"""
260,"""Panola County, Texas"""
261,"""Paterson, New Jersey"""
262,"""Paws, Inc."""
263,"""Pawtucket, Rhode Island"""
264,"""Peyton List (actress, born 1998)"""
265,"""Pitkin County, Colorado"""
266,"""Prescott, Arizona"""
267,"""Providence, Rhode Island"""
268,"""Raglan, New Zealand"""
269,"""Randall """"Tex"""" Cobb"""
270,"""Red Bank, New Jersey in fiction"""
271,"""Red Morris, 4th Baron Killanin"""
272,"""Richard Speight, Jr."""
273,"""Robert Walker (actor, born 1918)"""
274,"""Rockaway Township, New Jersey"""
275,"""Rockaway, Queens"""
276,"""Roman Catholic Ecclesiastical Province of St. John's, Newfoundland"""
277,"""Rudolf, Crown Prince of Austria"""
278,"""Salina, Kansas"""
279,"""Samuel Goldwyn, Jr."""
280,"""San Clemente, California"""
281,"""San Dimas, California"""
282,"""Sarah, Duchess of York"""
283,"""Scarborough, North Yorkshire"""
284,"""Schenectady, New York"""
285,"""Shōgo Suzuki (actor, born 1963)"""
286,"""Sidney Bernstein, Baron Bernstein"""
287,"""Sports in El Paso, Texas"""
288,"""St. Louis Park, Minnesota"""
289,"""Star City, Arkansas"""
290,"""Steve """"Lips"""" Kudlow"""
291,"""Television shows filmed in Halifax, Nova Scotia"""
292,"""The Cannon Group, Inc."""
293,"""Timothy """"Speed"""" Levitch"""
294,"""Tip """"T.I."""" Harris"""
295,"""Troy """"Trombone Shorty"""" Andrews"""
296,"""Troy, New York"""
297,"""Union County, New Jersey"""
298,"""Victor Wong (actor, born 1927)"""
299,"""Washington County, Pennsylvania"""
300,"""Waterford, Vermont"""
301,"""West Orange, New Jersey"""
302,"""Wildwood Enterprises, Inc"""
303,"""Will Kemp (actor, born 1977)"""
304,"""William Broyles, Jr."""
305,"""William Collins, Sons books"""
306,"""William Elliott (actor, born 1934)"""
307,"""William Wisher, Jr."""
308,"""Woodstock, Illinois"""
309,"""Works about the history of Hollywood, Los Angeles"""
310,"""Yuma, Arizona"""
311,"""Zucker, Abrahams and Zucker"""
312,(no genres listed)
313,101 Dalmatians films
314,12 Rounds films
315,1492 Pictures
316,1492 Pictures films
317,19 Entertainment
318,1900s American films
319,1903 Western (genre) films
320,1910 Fruitgum Company songs
321,1910s American films
322,1910s English-language films
323,1910s political films
324,1910s rediscovered films
325,1910s romantic fantasy films
326,1910s war drama films
327,1915 drama films
328,1915 films
329,1915 war films
330,1916 comedy films
331,1916 films
332,1916 short films
333,1917 films
334,1917 romantic comedy films
335,1917 short films
336,1920 comedy films
337,1920 films
338,1920s American animated films
339,1920s American films
340,1920s British films
341,1920s Disney animated short films
342,1920s English-language films
343,1920s German films
344,1920s action comedy films
345,1920s adventure drama films
346,1920s chase films
347,1920s color films
348,1920s comedy horror films
349,1920s crime thriller films
350,1920s dystopian films
351,1920s fantasy films
352,1920s historical drama films
353,1920s monster movies
354,1920s musical comedy films
355,1920s musical drama films
356,1920s mystery films
357,1920s psychological drama films
358,1920s rediscovered films
359,1920s romantic musical films
360,1920s serial killer films
361,1920s sports comedy films
362,1920s sports drama films
363,1920s thriller films
364,1921 comedy-drama films
365,1921 films
366,1923 films
367,1923 romantic comedy films
368,1923 romantic drama films
369,1924 comedy films
370,1924 drama films
371,1924 films
372,1925 comedy films
373,1925 drama films
374,1925 films
375,1926 comedy films
376,1926 drama films
377,1926 films
378,1926 horror films
379,1927 comedy films
380,1927 drama films
381,1927 films
382,1927 horror films
383,1927 musical films
384,1927 romantic drama films
385,1927 science fiction films
386,1928 animated films
387,1928 comedy films
388,1928 films
389,1928 short films
390,1929 films
391,1929 musical comedy films
392,1930 comedy films
393,1930 drama films
394,1930 films
395,1930 war films
396,1930s American animated films
397,1930s American films
398,1930s British films
399,1930s Christmas drama films
400,1930s Christmas films
401,1930s English-language films
402,1930s French films
403,1930s French-language films
404,1930s German films
405,1930s German-language films
406,1930s Warner Bros. animated short films
407,1930s adventure drama films
408,1930s biographical drama films
409,1930s buddy comedy films
410,1930s chase films
411,1930s children's animated films
412,1930s children's films
413,1930s color films
414,1930s comedy thriller films
415,1930s crime comedy films
416,1930s crime comedy-drama films
417,1930s crime films
418,1930s dance films
419,1930s disaster films
420,1930s fantasy adventure films
421,1930s fantasy comedy films
422,1930s fantasy drama films
423,1930s fantasy films
424,1930s ghost films
425,1930s historical adventure films
426,1930s historical drama films
427,1930s historical films
428,1930s historical romance films
429,1930s monster movies
430,1930s musical drama films
431,1930s musical fantasy films
432,1930s mystery films
433,1930s mystery thriller films
434,1930s political comedy-drama films
435,1930s prison films
436,1930s psychological thriller films
437,1930s rediscovered films
438,1930s romantic comedy-drama films
439,1930s romantic fantasy films
440,1930s romantic musical films
441,1930s romantic thriller films
442,1930s satirical films
443,1930s science fiction horror films
444,1930s screwball comedy films
445,1930s sports comedy films
446,1930s sports drama films
447,1930s spy thriller films
448,1930s war adventure films
449,1931 Western (genre) films
450,1931 comedy films
451,1931 crime drama films
452,1931 drama films
453,1931 films
454,1931 horror films
455,1931 romantic comedy films
456,1932 crime drama films
457,1932 drama films
458,1932 films
459,1932 horror films
460,1932 in California
461,1932 romantic comedy films
462,1932 romantic drama films
463,1932 war films
464,1933 comedy films
465,1933 comedy-drama films
466,1933 films
467,1933 horror films
468,1933 musical comedy films
469,1933 musical films
470,1933 romantic comedy films
471,1933 romantic drama films
472,1934 drama films
473,1934 films
474,1934 musical comedy films
475,1934 romantic comedy films
476,1935 comedy films
477,1935 films
478,1935 musical comedy films
479,1935 musical films
480,1935 romantic comedy films
481,1935 romantic drama films
482,1936 Western (genre) films
483,1936 comedy films
484,1936 crime drama films
485,1936 drama films
486,1936 films
487,1936 musical comedy films
488,1936 romantic comedy films
489,1936 romantic drama films
490,1936 war films
491,1937 animated films
492,1937 children's films
493,1937 crime drama films
494,1937 drama films
495,1937 fantasy films
496,1937 films
497,1937 musical comedy films
498,1937 musical films
499,1937 romantic comedy films
500,1937 romantic drama films
501,1938 adventure films
502,1938 animated films
503,1938 comedy films
504,1938 crime drama films
505,1938 drama films
506,1938 films
507,1938 romantic comedy films
508,1938 romantic drama films
509,1938 short films
510,1939 Western (genre) films
511,1939 adventure films
512,1939 animated films
513,1939 children's films
514,1939 comedy films
515,1939 comedy-drama films
516,1939 crime drama films
517,1939 drama films
518,1939 fantasy films
519,1939 films
520,1939 musical comedy films
521,1939 musical films
522,1939 romance films
523,1939 romantic comedy films
524,1939 romantic drama films
525,1939 short films
526,1939 war films
527,1940 Western (genre) films
528,1940 animated films
529,1940 comedy films
530,1940 comedy-drama films
531,1940 crime drama films
532,1940 crime films
533,1940 drama films
534,1940 fantasy films
535,1940 films
536,1940 horror films
537,1940 mystery films
538,1940 romantic comedy films
539,1940 romantic drama films
540,1940s American animated films
541,1940s American films
542,1940s British films
543,1940s Christmas comedy films
544,1940s Christmas comedy-drama films
545,1940s Christmas drama films
546,1940s Christmas films
547,1940s Dutch-language films
548,1940s English-language films
549,1940s French films
550,1940s French-language films
551,1940s LGBT-related films
552,1940s Mexican films
553,1940s Western (genre) comedy films
554,1940s adventure comedy films
555,1940s adventure drama films
556,1940s avant-garde and experimental films
557,1940s biographical drama films
558,1940s biographical films
559,1940s black comedy films
560,1940s buddy comedy films
561,1940s children's animated films
562,1940s children's fantasy films
563,1940s children's films
564,1940s comedy horror films
565,1940s comedy mystery films
566,1940s comedy road movies
567,1940s comedy thriller films
568,1940s crime comedy films
569,1940s crime comedy-drama films
570,1940s crime drama films
571,1940s crime films
572,1940s crime thriller films
573,1940s dance films
574,1940s drama road movies
575,1940s erotic thriller films
576,1940s fantasy adventure films
577,1940s fantasy comedy films
578,1940s fantasy comedy-drama films
579,1940s fantasy drama films
580,1940s fantasy films
581,1940s feminist films
582,1940s ghost films
583,1940s historical adventure films
584,1940s historical comedy films
585,1940s historical drama films
586,1940s historical films
587,1940s historical horror films
588,1940s legal films
589,1940s monster movies
590,1940s musical comedy-drama films
591,1940s musical drama films
592,1940s musical fantasy films
593,1940s musical films
594,1940s mystery drama films
595,1940s mystery thriller films
596,1940s parody films
597,1940s political comedy films
598,1940s political films
599,1940s political thriller films
600,1940s psychological drama films
601,1940s psychological thriller films
602,1940s romance films
603,1940s romantic comedy-drama films
604,1940s romantic fantasy films
605,1940s romantic musical films
606,1940s romantic thriller films
607,1940s satirical films
608,1940s science fiction action films
609,1940s science fiction adventure films
610,1940s science fiction horror films
611,1940s screwball comedy films
612,1940s serial killer films
613,1940s sports comedy films
614,1940s sports drama films
615,1940s spy drama films
616,1940s spy thriller films
617,1940s supernatural horror films
618,1940s thriller drama films
619,1940s thriller films
620,1940s war comedy-drama films
621,1940s war drama films
622,1940s war films
623,1941 animated films
624,1941 comedy films
625,1941 crime drama films
626,1941 crime films
627,1941 directorial debut films
628,1941 drama films
629,1941 films
630,1941 horror films
631,1941 musical comedy films
632,1941 mystery films
633,1941 romantic comedy films
634,1941 romantic drama films
635,1941 songs
636,1942 animated films
637,1942 comedy films
638,1942 comedy-drama films
639,1942 crime drama films
640,1942 drama films
641,1942 films
642,1942 horror films
643,1942 musical comedy films
644,1942 musical films
645,1942 romantic comedy films
646,1942 romantic drama films
647,1942 war films
648,1943 Western (genre) films
649,1943 drama films
650,1943 films
651,1943 horror films
652,1943 mystery films
653,1943 romantic drama films
654,1943 short films
655,1944 adventure films
656,1944 animated films
657,1944 comedy films
658,1944 comedy-drama films
659,1944 crime drama films
660,1944 drama films
661,1944 films
662,1944 musical films
663,1944 mystery films
664,1944 romantic comedy films
665,1944 romantic drama films
666,1945 comedy films
667,1945 comedy-drama films
668,1945 crime drama films
669,1945 crime films
670,1945 drama films
671,1945 films
672,1945 horror films
673,1945 musical comedy films
674,1945 musical films
675,1945 mystery films
676,1945 novels
677,1945 romantic drama films
678,1946 Western (genre) films
679,1946 animated films
680,1946 crime drama films
681,1946 drama films
682,1946 films
683,1946 musical comedy films
684,1946 musical films
685,1946 romantic comedy films
686,1946 romantic drama films
687,1947 comedy films
688,1947 crime drama films
689,1947 crime films
690,1947 drama films
691,1947 films
692,1947 mystery films
693,1947 romantic comedy films
694,1948 Western (genre) films
695,1948 comedy films
696,1948 crime drama films
697,1948 drama films
698,1948 films
699,1948 horror films
700,1948 musical films
701,1948 romantic comedy films
702,1948 romantic drama films
703,1949 Western (genre) films
704,1949 animated films
705,1949 comedy films
706,1949 comedy-drama films
707,1949 directorial debut films
708,1949 drama films
709,1949 films
710,1949 musical comedy films
711,1949 musical films
712,1949 romantic comedy films
713,1949 romantic drama films
714,1949 war films
715,1950 Western (genre) films
716,1950 adventure films
717,1950 animated films
718,1950 comedy films
719,1950 comedy-drama films
720,1950 crime films
721,1950 drama films
722,1950 films
723,1950 musical comedy films
724,1950 romantic comedy films
725,1950 romantic drama films
726,1950 singles
727,1950 songs
728,1950s American animated films
729,1950s American films
730,1950s British films
731,1950s Christmas comedy films
732,1950s Christmas drama films
733,1950s Christmas films
734,1950s English-language films
735,1950s French films
736,1950s French-language films
737,1950s German-language films
738,1950s Italian films
739,1950s Italian-language films
740,1950s Japanese films
741,1950s Japanese-language films
742,1950s LGBT-related films
743,1950s Mexican films
744,1950s Swedish films
745,1950s Swedish-language films
746,1950s Warner Bros. animated short films
747,1950s Western (genre) horror films
748,1950s Western (genre) musical films
749,1950s adventure comedy films
750,1950s adventure drama films
751,1950s adventure thriller films
752,1950s biographical drama films
753,1950s biographical films
754,1950s black comedy films
755,1950s buddy comedy films
756,1950s business films
757,1950s chase films
758,1950s children's adventure films
759,1950s children's fantasy films
760,1950s children's films
761,1950s comedy mystery films
762,1950s comedy thriller films
763,1950s coming-of-age drama films
764,1950s crime comedy films
765,1950s crime films
766,1950s crime thriller films
767,1950s disaster films
768,1950s exploitation films
769,1950s fantasy adventure films
770,1950s fantasy comedy films
771,1950s fantasy comedy-drama films
772,1950s fantasy drama films
773,1950s fantasy films
774,1950s female buddy films
775,1950s feminist films
776,1950s heist films
777,1950s historical adventure films
778,1950s historical fantasy films
779,1950s historical films
780,1950s historical horror films
781,1950s horror thriller films
782,1950s independent films
783,1950s legal films
784,1950s lost films
785,1950s monster movies
786,1950s multilingual films
787,1950s musical comedy-drama films
788,1950s musical drama films
789,1950s musical fantasy films
790,1950s mystery films
791,1950s mystery thriller films
792,1950s parody films
793,1950s political drama films
794,1950s political films
795,1950s prison films
796,1950s psychological drama films
797,1950s psychological thriller films
798,1950s rediscovered films
799,1950s romance films
800,1950s romantic comedy-drama films
801,1950s romantic fantasy films
802,1950s romantic musical films
803,1950s romantic thriller films
804,1950s satirical films
805,1950s science fiction adventure films
806,1950s science fiction comedy films
807,1950s science fiction drama films
808,1950s science fiction films
809,1950s science fiction horror films
810,1950s screwball comedy films
811,1950s serial killer films
812,1950s sex comedy films
813,1950s sports drama films
814,1950s spy thriller films
815,1950s teen drama films
816,1950s teen films
817,1950s thriller drama films
818,1950s thriller films
819,1950s war drama films
820,1950s war films
821,1951 animated films
822,1951 comedy films
823,1951 directorial debut films
824,1951 drama films
825,1951 films
826,1951 horror films
827,1951 musical comedy films
828,1951 romantic comedy films
829,1952 Western (genre) films
830,1952 comedy films
831,1952 comedy-drama films
832,1952 drama films
833,1952 films
834,1952 musical comedy films
835,1952 romantic comedy films
836,1952 romantic drama films
837,1953 3D films
838,1953 Western (genre) films
839,1953 animated films
840,1953 comedy films
841,1953 crime drama films
842,1953 directorial debut films
843,1953 drama films
844,1953 films
845,1953 horror films
846,1953 musical comedy films
847,1953 romantic comedy films
848,1953 romantic drama films
849,1953 short films
850,1953 war films
851,1954 3D films
852,1954 adventure films
853,1954 animated films
854,1954 crime drama films
855,1954 drama films
856,1954 films
857,1954 horror films
858,1954 musical comedy films
859,1954 musical films
860,1954 romantic comedy films
861,1954 romantic drama films
862,1954 war films
863,1955 Western (genre) films
864,1955 animated films
865,1955 comedy films
866,1955 comedy-drama films
867,1955 crime drama films
868,1955 directorial debut films
869,1955 drama films
870,1955 films
871,1955 horror films
872,1955 musical films
873,1955 romantic comedy films
874,1955 romantic drama films
875,1955 war films
876,1956 Western (genre) films
877,1956 adventure films
878,1956 comedy films
879,1956 crime drama films
880,1956 drama films
881,1956 films
882,1956 horror films
883,1956 musical comedy films
884,1956 musical films
885,1956 romantic drama films
886,1956 soundtrack albums
887,1957 Western (genre) films
888,1957 comedy films
889,1957 directorial debut films
890,1957 drama films
891,1957 films
892,1957 horror films
893,1957 musical comedy films
894,1957 musical films
895,1957 romantic comedy films
896,1957 romantic drama films
897,1957 war films
898,1958 Western (genre) films
899,1958 comedy films
900,1958 comedy-drama films
901,1958 crime drama films
902,1958 directorial debut films
903,1958 drama films
904,1958 films
905,1958 horror films
906,1958 musical comedy films
907,1958 plays
908,1958 romantic comedy films
909,1958 romantic drama films
910,1959 Western (genre) films
911,1959 animated films
912,1959 comedy films
913,1959 crime drama films
914,1959 crime films
915,1959 directorial debut films
916,1959 drama films
917,1959 films
918,1959 horror films
919,1959 independent films
920,1959 romantic comedy films
921,1959 romantic drama films
922,1959 war films
923,1960 LGBT-related films
924,1960 Western (genre) films
925,1960 adventure films
926,1960 comedy films
927,1960 comedy-drama films
928,1960 directorial debut films
929,1960 drama films
930,1960 films
931,1960 horror films
932,1960 musical comedy films
933,1960 romantic comedy films
934,1960 romantic drama films
935,1960 war films
936,1960s American animated films
937,1960s American films
938,1960s American sitcoms
939,1960s American television specials
940,1960s British films
941,1960s Christmas comedy films
942,1960s Christmas comedy-drama films
943,1960s Christmas drama films
944,1960s Christmas films
945,1960s Disney animated short films
946,1960s English-language films
947,1960s French films
948,1960s French-language films
949,1960s German-language films
950,1960s Italian films
951,1960s Italian-language films
952,1960s Japanese films
953,1960s Japanese-language films
954,1960s Mandarin-language films
955,1960s Mexican films
956,1960s Russian-language films
957,1960s Spanish films
958,1960s Spanish-language films
959,1960s Swedish films
960,1960s Swedish-language films
961,1960s Western (genre) comedy films
962,1960s Western (genre) films
963,1960s Western (genre) musical films
964,1960s action comedy films
965,1960s action drama films
966,1960s action films
967,1960s action war films
968,1960s adventure comedy films
969,1960s adventure drama films
970,1960s animated short films
971,1960s animated television specials
972,1960s avant-garde and experimental films
973,1960s ballads
974,1960s biographical drama films
975,1960s biographical films
976,1960s black comedy films
977,1960s buddy comedy films
978,1960s buddy cop films
979,1960s buddy drama films
980,1960s buddy films
981,1960s business films
982,1960s chase films
983,1960s children's adventure films
984,1960s children's animated films
985,1960s children's comedy films
986,1960s children's fantasy films
987,1960s children's films
988,1960s comedy horror films
989,1960s comedy mystery films
990,1960s comedy thriller films
991,1960s coming-of-age comedy films
992,1960s coming-of-age comedy-drama films
993,1960s coming-of-age drama films
994,1960s coming-of-age films
995,1960s crime comedy films
996,1960s crime comedy-drama films
997,1960s crime drama films
998,1960s crime thriller films
999,1960s debut plays
1000,1960s disaster films
1001,1960s drama road movies
1002,1960s dystopian films
1003,1960s exploitation films
1004,1960s fantasy action films
1005,1960s fantasy adventure films
1006,1960s fantasy comedy films
1007,1960s fantasy films
1008,1960s feminist films
1009,1960s gang films
1010,1960s ghost films
1011,1960s heist films
1012,1960s historical adventure films
1013,1960s historical comedy films
1014,1960s historical drama films
1015,1960s historical films
1016,1960s historical horror films
1017,1960s historical romance films
1018,1960s horror thriller films
