movieIDd,movie_name
261,Little Women (1994)
262,"Little Princess, A (1995)"
266,Legends of the Fall (1994)
267,Major Payne (1995)
270,Love Affair (1994)
272,"Madness of King George, The (1994)"
274,Man of the House (1995)
275,Mixed Nuts (1994)
276,Milk Money (1994)
277,Miracle on 34th Street (1994)
278,Miami Rhapsody (1995)
280,Murder in the First (1995)
281,Nobody's Fool (1994)
282,Nell (1994)
283,New Jersey Drive (1995)
287,Nina Takes a Lover (1994)
289,Only You (1994)
290,Once Were Warriors (1994)
294,"Perez Family, The (1995)"
295,"Pyromaniac's Love Story, A (1995)"
296,Pulp Fiction (1994)
300,Quiz Show (1994)
303,"Quick and the Dead, The (1995)"
304,Roommates (1995)
312,Stuart Saves His Family (1995)
313,"Swan Princess, The (1994)"
314,"Secret of Roan Inish, The (1994)"
315,"Specialist, The (1994)"
316,Stargate (1994)
317,"Santa Clause, The (1994)"
318,"Shawshank Redemption, The (1994)"
319,Shallow Grave (1994)
320,Suture (1993)
322,Swimming with Sharks (1995)
327,Tank Girl (1995)
330,Tales from the Hood (1995)
331,Tom & Viv (1994)
332,Village of the Damned (1995)
334,Vanya on 42nd Street (1994)
337,What's Eating Gilbert Grape (1993)
338,Virtuosity (1995)
339,While You Were Sleeping (1995)
340,"War, The (1994)"
383,Wyatt Earp (1994)
384,Bad Company (1995)
385,"Man of No Importance, A (1994)"
386,S.F.W. (1994)
387,"Low Down Dirty Shame, A (1994)"
391,Jason's Lyric (1994)
393,Street Fighter (1994)
408,8 Seconds (1994)
409,Above the Rim (1994)
410,Addams Family Values (1993)
412,"Age of Innocence, The (1993)"
413,Airheads (1994)
414,"Air Up There, The (1994)"
415,Another Stakeout (1993)
416,Bad Girls (1994)
417,Barcelona (1994)
419,"Beverly Hillbillies, The (1993)"
421,Black Beauty (1994)
423,Blown Away (1994)
424,Blue Chips (1994)
425,Blue Sky (1994)
426,Body Snatchers (1993)
427,Boxing Helena (1993)
428,"Bronx Tale, A (1993)"
429,Cabin Boy (1994)
431,Carlito's Way (1993)
432,City Slickers II The Legend of Curly's Gold (1994)
433,Clean Slate (1994)
434,Cliffhanger (1993)
435,Coneheads (1993)
436,Color of Night (1994)
438,"Cowboy Way, The (1994)"
440,Dave (1993)
441,Dazed and Confused (1993)
442,Demolition Man (1993)
444,Even Cowgirls Get the Blues (1993)
445,Fatal Instinct (1993)
448,Fearless (1993)
449,Fear of a Black Hat (1994)
451,Flesh and Bone (1993)
452,Widows' Peak (1994)
453,For Love or Money (1993)
454,"Firm, The (1993)"
455,Free Willy (1993)
456,Fresh (1994)
457,"Fugitive, The (1993)"
458,Geronimo An American Legend (1993)
459,"Getaway, The (1994)"
460,Getting Even with Dad (1994)
461,Go Fish (1994)
464,Hard Target (1993)
466,Hot Shots! Part Deux (1993)
467,Live Nude Girls (1995)
469,"House of the Spirits, The (1993)"
471,"Hudsucker Proxy, The (1994)"
472,I'll Do Anything (1994)
474,In the Line of Fire (1993)
475,In the Name of the Father (1993)
478,Jimmy Hollywood (1994)
479,Judgment Night (1993)
480,Jurassic Park (1993)
481,Kalifornia (1993)
482,Killing Zoe (1994)
484,Lassie (1994)
485,Last Action Hero (1993)
486,Life with Mikey (1993)
487,Lightning Jack (1994)
488,M. Butterfly (1993)
489,Made in America (1993)
490,Malice (1993)
491,"Man Without a Face, The (1993)"
492,Manhattan Murder Mystery (1993)
493,Menace II Society (1993)
494,Executive Decision (1996)
497,Much Ado About Nothing (1993)
499,Mr. Wonderful (1993)
500,Mrs. Doubtfire (1993)
501,Naked (1993)
502,"Next Karate Kid, The (1994)"
505,North (1994)
506,Orlando (1992)
507,"Perfect World, A (1993)"
508,Philadelphia (1993)
509,"Piano, The (1993)"
510,Poetic Justice (1993)
511,"Program, The (1993)"
512,"Puppet Masters, The (1994)"
513,Radioland Murders (1994)
514,"Ref, The (1994)"
515,"Remains of the Day, The (1993)"
516,Renaissance Man (1994)
519,RoboCop 3 (1993)
520,Robin Hood Men in Tights (1993)
521,Romeo Is Bleeding (1993)
522,Romper Stomper (1992)
523,Ruby in Paradise (1993)
527,Schindler's List (1993)
528,"Scout, The (1994)"
529,Searching for Bobby Fischer (1993)
531,"Secret Garden, The (1993)"
532,Serial Mom (1994)
533,"Shadow, The (1994)"
534,Shadowlands (1993)
535,Short Cuts (1993)
537,Sirens (1994)
538,Six Degrees of Separation (1993)
539,Sleepless in Seattle (1993)
540,Sliver (1993)
541,Blade Runner (1982)
543,So I Married an Axe Murderer (1993)
544,Striking Distance (1993)
546,Super Mario Bros. (1993)
547,Surviving the Game (1994)
548,Terminal Velocity (1994)
550,Threesome (1994)
551,"Nightmare Before Christmas, The (1993)"
552,"Three Musketeers, The (1993)"
553,Tombstone (1993)
555,True Romance (1993)
556,"War Room, The (1993)"
558,"Pagemaster, The (1994)"
562,Welcome to the Dollhouse (1995)
563,Germinal (1993)
564,Chasers (1994)
568,Bhaji on the Beach (1993)
569,Little Big League (1994)
574,Spanking the Monkey (1994)
575,"Little Rascals, The (1994)"
577,Andre (1994)
580,Princess Caraboo (1994)
585,"Brady Bunch Movie, The (1995)"
586,Home Alone (1990)
587,Ghost (1990)
589,Terminator 2 Judgment Day (1991)
590,Dances with Wolves (1990)
592,Batman (1989)
593,"Silence of the Lambs, The (1991)"
594,Snow White and the Seven Dwarfs (1937)
595,Beauty and the Beast (1991)
596,Pinocchio (1940)
597,Pretty Woman (1990)
599,"Wild Bunch, The (1969)"
600,Love and a .45 (1994)
602,"Great Day in Harlem, A (1994)"
606,Candyman Farewell to the Flesh (1995)
608,Fargo (1996)
609,Homeward Bound II Lost in San Francisco (1996)
610,Heavy Metal (1981)
611,Hellraiser Bloodline (1996)
612,"Pallbearer, The (1996)"
613,Jane Eyre (1996)
618,Two Much (1995)
627,"Last Supper, The (1995)"
628,Primal Fear (1996)
633,Denise Calls Up (1995)
634,Theodore Rex (1995)
635,"Family Thing, A (1996)"
637,Sgt. Bilko (1996)
638,Jack and Sarah (1995)
639,Girl 6 (1996)
640,Diabolique (1996)
647,Courage Under Fire (1996)
648,Mission Impossible (1996)
653,Dragonheart (1996)
656,Eddie (1996)
661,James and the Giant Peach (1996)
662,Fear (1996)
663,Kids in the Hall Brain Candy (1996)
665,Underground (1995)
671,Mystery Science Theater 3000 The Movie (1996)
673,Space Jam (1996)
674,Barbarella (1968)
678,Some Folks Call It a Sling Blade (1993)
685,It's My Party (1996)
688,Operation Dumbo Drop (1995)
691,Mrs. Winterbourne (1996)
694,"Substitute, The (1996)"
695,True Crime (1996)
697,Feeling Minnesota (1996)
698,Delta of Venus (1995)
700,Angus (1995)
703,Boys (1996)
704,"Quest, The (1996)"
708,"Truth About Cats & Dogs, The (1996)"
709,Oliver & Company (1988)
710,Celtic Pride (1996)
711,Flipper (1996)
714,Dead Man (1995)
719,Multiplicity (1996)
724,"Craft, The (1996)"
726,Last Dance (1996)
728,Cold Comfort Farm (1995)
731,Heaven's Prisoners (1996)
733,"Rock, The (1996)"
736,Twister (1996)
737,Barb Wire (1996)
742,Thinner (1996)
743,Spy Hard (1996)
747,"Stupids, The (1996)"
748,"Arrival, The (1996)"
759,Maya Lin A Strong Clear Vision (1994)
760,Stalingrad (1993)
761,"Phantom, The (1996)"
762,Striptease (1996)
764,Heavy (1995)
765,Jack (1996)
766,I Shot Andy Warhol (1996)
773,Touki Bouki (1973)
775,Spirits of the Dead (1968)
778,Trainspotting (1996)
779,'Til There Was You (1997)
781,Stealing Beauty (1996)
782,"Fan, The (1996)"
783,"Hunchback of Notre Dame, The (1996)"
784,"Cable Guy, The (1996)"
785,Kingpin (1996)
788,"Nutty Professor, The (1996)"
795,Somebody to Love (1994)
798,Daylight (1996)
799,"Frighteners, The (1996)"
800,Lone Star (1996)
801,Harriet the Spy (1996)
803,Walking and Talking (1996)
804,She's the One (1996)
805,"Time to Kill, A (1996)"
806,American Buffalo (1996)
810,Kazaam (1996)
828,"Adventures of Pinocchio, The (1996)"
829,Joe's Apartment (1996)
830,"First Wives Club, The (1996)"
832,Ransom (1996)
833,High School High (1996)
835,Foxfire (1996)
836,Chain Reaction (1996)
837,Matilda (1996)
839,"Crow City of Angels, The (1996)"
840,House Arrest (1996)
848,"Spitfire Grill, The (1996)"
849,Escape from L.A. (1996)
851,Basquiat (1996)
852,Tin Cup (1996)
858,"Godfather, The (1972)"
866,Bound (1996)
867,Carpool (1996)
869,Kansas City (1996)
879,"Relic, The (1997)"
880,"Island of Dr. Moreau, The (1996)"
881,First Kid (1996)
882,"Trigger Effect, The (1996)"
885,Bogus (1996)
886,Bulletproof (1996)
892,Twelfth Night (1996)
893,Mother Night (1996)
897,For Whom the Bell Tolls (1943)
898,"Philadelphia Story, The (1940)"
899,Singin' in the Rain (1952)
900,"American in Paris, An (1951)"
901,Funny Face (1957)
902,Breakfast at Tiffany's (1961)
903,Vertigo (1958)
904,Rear Window (1954)
905,It Happened One Night (1934)
906,Gaslight (1944)
907,"Gay Divorcee, The (1934)"
908,North by Northwest (1959)
909,"Apartment, The (1960)"
910,Some Like It Hot (1959)
911,Charade (1963)
912,Casablanca (1942)
913,"Maltese Falcon, The (1941)"
914,My Fair Lady (1964)
916,Roman Holiday (1953)
917,"Little Princess, The (1939)"
918,Meet Me in St. Louis (1944)
919,"Wizard of Oz, The (1939)"
920,Gone with the Wind (1939)
921,My Favorite Year (1982)
923,Citizen Kane (1941)
924,2001 A Space Odyssey (1968)
926,All About Eve (1950)
927,"Women, The (1939)"
928,Rebecca (1940)
929,Foreign Correspondent (1940)
930,Notorious (1946)
931,Spellbound (1945)
932,"Affair to Remember, An (1957)"
933,To Catch a Thief (1955)
934,Father of the Bride (1950)
935,"Band Wagon, The (1953)"
936,Ninotchka (1939)
937,Love in the Afternoon (1957)
938,Gigi (1958)
940,"Adventures of Robin Hood, The (1938)"
941,"Mark of Zorro, The (1940)"
942,Laura (1944)
943,"Ghost and Mrs. Muir, The (1947)"
944,Lost Horizon (1937)
945,Top Hat (1935)
946,To Be or Not to Be (1942)
948,Giant (1956)
949,East of Eden (1955)
951,His Girl Friday (1940)
952,Around the World in 80 Days (1956)
953,It's a Wonderful Life (1946)
954,Mr. Smith Goes to Washington (1939)
955,Bringing Up Baby (1938)
956,Penny Serenade (1941)
959,Of Human Bondage (1934)
961,Little Lord Fauntleroy (1936)
963,"Inspector General, The (1949)"
965,"39 Steps, The (1935)"
968,Night of the Living Dead (1968)
969,"African Queen, The (1951)"
970,Beat the Devil (1953)
971,Cat on a Hot Tin Roof (1958)
973,Meet John Doe (1941)
976,"Farewell to Arms, A (1932)"
979,Nothing Personal (1995)
982,Picnic (1955)
984,"Pompatus of Love, The (1996)"
986,Fly Away Home (1996)
987,Bliss (1997)
988,Grace of My Heart (1996)
990,Maximum Risk (1996)
991,Michael Collins (1996)
994,Big Night (1996)
996,Last Man Standing (1996)
998,Set It Off (1996)
999,2 Days in the Valley (1996)
1003,Extreme Measures (1996)
1004,"Glimmer Man, The (1996)"
1005,D3 The Mighty Ducks (1996)
1006,"Chamber, The (1996)"
1010,"Love Bug, The (1969)"
1011,Herbie Rides Again (1974)
1012,Old Yeller (1957)
1013,"Parent Trap, The (1961)"
1014,Pollyanna (1960)
1015,Homeward Bound The Incredible Journey (1993)
1016,"Shaggy Dog, The (1959)"
1017,Swiss Family Robinson (1960)
1018,That Darn Cat! (1965)
1020,Cool Runnings (1993)
1021,Angels in the Outfield (1994)
1022,Cinderella (1950)
1023,Winnie the Pooh and the Blustery Day (1968)
1024,"Three Caballeros, The (1945)"
1025,"Sword in the Stone, The (1963)"
1027,Robin Hood Prince of Thieves (1991)
1028,Mary Poppins (1964)
1030,Pete's Dragon (1977)
1031,Bedknobs and Broomsticks (1971)
1032,Alice in Wonderland (1951)
1033,"Fox and the Hound, The (1981)"
1034,Freeway (1996)
1035,"Sound of Music, The (1965)"
1036,Die Hard (1988)
1037,"Lawnmower Man, The (1992)"
1040,"Secret Agent, The (1996)"
1041,Secrets & Lies (1996)
1042,That Thing You Do! (1996)
1043,To Gillian on Her 37th Birthday (1996)
1046,Beautiful Thing (1996)
1049,"Ghost and the Darkness, The (1996)"
1050,Looking for Richard (1996)
1051,Trees Lounge (1996)
1053,Normal Life (1996)
1054,Get on the Bus (1996)
1055,Shadow Conspiracy (1997)
1056,Jude (1996)
1057,Everyone Says I Love You (1996)
1060,Swingers (1996)
1064,Aladdin and the King of Thieves (1996)
1066,Shall We Dance (1937)
1068,Crossfire (1947)
1073,Willy Wonka & the Chocolate Factory (1971)
1076,"Innocents, The (1961)"
1077,Sleeper (1973)
1078,Bananas (1971)
1079,"Fish Called Wanda, A (1988)"
1080,Monty Python's Life of Brian (1979)
1082,"Candidate, The (1972)"
1083,"Great Race, The (1965)"
1084,Bonnie and Clyde (1967)
1085,"Old Man and the Sea, The (1958)"
1086,Dial M for Murder (1954)
1088,Dirty Dancing (1987)
1089,Reservoir Dogs (1992)
1090,Platoon (1986)
1091,Weekend at Bernie's (1989)
1092,Basic Instinct (1992)
1093,"Doors, The (1991)"
1094,"Crying Game, The (1992)"
1095,Glengarry Glen Ross (1992)
1096,Sophie's Choice (1982)
1097,E.T. the Extra-Terrestrial (1982)
1099,"Christmas Carol, A (1938)"
1100,Days of Thunder (1990)
1101,Top Gun (1986)
1103,Rebel Without a Cause (1955)
1104,"Streetcar Named Desire, A (1951)"
1105,Children of the Corn IV The Gathering (1996)
1112,Palookaville (1996)
1114,"Funeral, The (1996)"
1119,Drunks (1995)
1120,"People vs. Larry Flynt, The (1996)"
1124,On Golden Pond (1981)
1125,"Return of the Pink Panther, The (1975)"
1126,Drop Dead Fred (1991)
1127,"Abyss, The (1989)"
1128,"Fog, The (1980)"
1129,Escape from New York (1981)
1131,Jean de Florette (1986)
1135,Private Benjamin (1980)
1136,Monty Python and the Holy Grail (1975)
1140,Entertaining Angels The Dorothy Day Story (1996)
1144,"Line King The Al Hirschfeld Story, The (1996)"
1147,When We Were Kings (1996)
1162,"Ruling Class, The (1972)"
1167,Dear God (1996)
1171,Bob Roberts (1992)
1175,Delicatessen (1991)
1178,Paths of Glory (1957)
1179,"Grifters, The (1990)"
1180,Hear My Song (1991)
1183,"English Patient, The (1996)"
1184,Mediterraneo (1991)
1185,My Left Foot (1989)
1187,Passion Fish (1992)
1188,Strictly Ballroom (1992)
1189,"Thin Blue Line, The (1988)"
1191,Madonna Truth or Dare (1991)
1192,Paris Is Burning (1990)
1193,One Flew Over the Cuckoo's Nest (1975)
1197,"Princess Bride, The (1987)"
1199,Brazil (1985)
1200,Aliens (1986)
1203,12 Angry Men (1957)
1204,Lawrence of Arabia (1962)
1206,"Clockwork Orange, A (1971)"
1207,To Kill a Mockingbird (1962)
1208,Apocalypse Now (1979)
1212,"Third Man, The (1949)"
1213,Goodfellas (1990)
1214,Alien (1979)
1215,Army of Darkness (1993)
1217,Ran (1985)
1219,Psycho (1960)
1220,"Blues Brothers, The (1980)"
1222,Full Metal Jacket (1987)
1224,Henry V (1989)
1225,Amadeus (1984)
1227,Once Upon a Time in America (1984)
1228,Raging Bull (1980)
1230,Annie Hall (1977)
1231,"Right Stuff, The (1983)"
1232,Stalker (1979)
1234,"Sting, The (1973)"
1236,Trust (1990)
1238,Local Hero (1983)
1240,"Terminator, The (1984)"
1242,Glory (1989)
1244,Manhattan (1979)
1245,Miller's Crossing (1990)
1246,Dead Poets Society (1989)
1247,"Graduate, The (1967)"
1248,Touch of Evil (1958)
1250,"Bridge on the River Kwai, The (1957)"
1252,Chinatown (1974)
1253,"Day the Earth Stood Still, The (1951)"
1254,"Treasure of the Sierra Madre, The (1948)"
1255,Bad Taste (1987)
1256,Duck Soup (1933)
1258,"Shining, The (1980)"
1262,"Great Escape, The (1963)"
1263,"Deer Hunter, The (1978)"
1264,Diva (1981)
1265,Groundhog Day (1993)
1266,Unforgiven (1992)
1267,"Manchurian Candidate, The (1962)"
1268,Pump Up the Volume (1990)
1269,Arsenic and Old Lace (1944)
1270,Back to the Future (1985)
1271,Fried Green Tomatoes (1991)
1272,Patton (1970)
1274,Akira (1988)
1275,Highlander (1986)
1276,Cool Hand Luke (1967)
1277,Cyrano de Bergerac (1990)
1278,Young Frankenstein (1974)
1279,Night on Earth (1991)
1281,"Great Dictator, The (1940)"
1282,Fantasia (1940)
1283,High Noon (1952)
1285,Heathers (1989)
1286,Somewhere in Time (1980)
1287,Ben-Hur (1959)
1288,This Is Spinal Tap (1984)
1290,Some Kind of Wonderful (1987)
1291,Indiana Jones and the Last Crusade (1989)
1292,Being There (1979)
1293,Gandhi (1982)
1295,"Unbearable Lightness of Being, The (1988)"
1297,Real Genius (1985)
1299,"Killing Fields, The (1984)"
1301,Forbidden Planet (1956)
1302,Field of Dreams (1989)
1303,"Man Who Would Be King, The (1975)"
1304,Butch Cassidy and the Sundance Kid (1969)
1307,When Harry Met Sally... (1989)
1310,Hype! (1996)
1321,"American Werewolf in London, An (1981)"
1323,Amityville 3-D (1983)
1326,Amityville II The Possession (1982)
1327,"Amityville Horror, The (1979)"
1328,"Amityville Curse, The (1990)"
1330,April Fool's Day (1986)
1331,Audrey Rose (1977)
1333,"Birds, The (1963)"
1334,"Blob, The (1958)"
1335,Blood Beach (1981)
1336,Body Parts (1991)
1341,Burnt Offerings (1976)
1342,Candyman (1992)
1343,Cape Fear (1991)
1344,Cape Fear (1962)
1345,Carrie (1976)
1346,Cat People (1982)
1347,"Nightmare on Elm Street, A (1984)"
1350,"Omen, The (1976)"
1353,"Mirror Has Two Faces, The (1996)"
1354,Breaking the Waves (1996)
1355,Nightwatch (1997)
1356,Star Trek First Contact (1996)
1357,Shine (1996)
1358,Sling Blade (1996)
1359,Jingle All the Way (1996)
1361,Paradise Lost The Child Murders at Robin Hood Hills (1996)
1363,"Preacher's Wife, The (1996)"
1365,Ridicule (1996)
1366,"Crucible, The (1996)"
1367,101 Dalmatians (1996)
1370,Die Hard 2 (1990)
1371,Star Trek The Motion Picture (1979)
1372,Star Trek VI The Undiscovered Country (1991)
1373,Star Trek V The Final Frontier (1989)
1374,Star Trek II The Wrath of Khan (1982)
1375,Star Trek III The Search for Spock (1984)
1376,Star Trek IV The Voyage Home (1986)
1377,Batman Returns (1992)
1378,Young Guns (1988)
1379,Young Guns II (1990)
1380,Grease (1978)
1381,Grease 2 (1982)
1382,Marked for Death (1990)
1387,Jaws (1975)
1388,Jaws 2 (1978)
1389,Jaws 3-D (1983)
1390,My Fellow Americans (1996)
1391,Mars Attacks! (1996)
1392,Citizen Ruth (1996)
1394,Raising Arizona (1987)
1395,Tin Men (1987)
1396,Sneakers (1992)
1397,Bastard Out of Carolina (1996)
1398,In Love and War (1996)
1399,Marvin's Room (1996)
1401,Ghosts of Mississippi (1996)
1405,Beavis and Butt-Head Do America (1996)
1406,La Cérémonie (1995)
1407,Scream (1996)
1408,"Last of the Mohicans, The (1992)"
1409,Michael (1996)
1411,Hamlet (1996)
1412,Some Mother's Son (1996)
1413,"Whole Wide World, The (1996)"
1414,Mother (1996)
1416,Evita (1996)
1417,"Portrait of a Lady, The (1996)"
1419,Walkabout (1971)
1422,Murder at 1600 (1997)
1423,Hearts and Minds (1996)
1425,Fierce Creatures (1997)
1426,Zeus and Roxanne (1997)
1427,Turbulence (1997)
1428,Angel Baby (1995)
1431,Beverly Hills Ninja (1997)
1432,Metro (1997)
1437,"Cement Garden, The (1993)"
1438,Dante's Peak (1997)
1439,Meet Wally Sparks (1997)
1440,Amos & Andrew (1993)
1441,Benny & Joon (1993)
1442,Prefontaine (1997)
1445,McHale's Navy (1997)
1447,Gridlock'd (1997)
1449,Waiting for Guffman (1996)
1453,"Beautician and the Beast, The (1997)"
1454,SubUrbia (1997)
1456,"Pest, The (1997)"
1457,Fools Rush In (1997)
1458,Touch (1997)
1459,Absolute Power (1997)
1460,That Darn Cat (1997)
1464,Lost Highway (1997)
1465,Rosewood (1997)
1466,Donnie Brasco (1997)
1468,Booty Call (1997)
1475,Kama Sutra A Tale of Love (1996)
1476,Private Parts (1997)
1477,Love Jones (1997)
1479,"Saint, The (1997)"
1480,Smilla's Sense of Snow (1997)
1483,Crash (1996)
1484,"Daytrippers, The (1996)"
1485,Liar Liar (1997)
1487,Selena (1997)
1488,"Devil's Own, The (1997)"
1489,Cats Don't Dance (1997)
1496,Anna Karenina (1997)
1498,Inventing the Abbotts (1997)
1500,Grosse Pointe Blank (1997)
1502,Kissed (1996)
1503,8 Heads in a Duffel Bag (1997)
1507,Paradise Road (1997)
1513,Romy and Michele's High School Reunion (1997)
1515,Volcano (1997)
1516,Children of the Revolution (1996)
1517,Austin Powers International Man of Mystery (1997)
1518,Breakdown (1997)
1519,Broken English (1996)
1526,Fathers' Day (1997)
1527,"Fifth Element, The (1997)"
1541,Addicted to Love (1997)
1542,Brassed Off (1996)
1544,"Lost World Jurassic Park, The (1997)"
1545,Ponette (1996)
1546,Schizopolis (1996)
1547,Shiloh (1997)
1551,Buddy (1997)
1554,"Pillow Book, The (1996)"
1556,Speed 2 Cruise Control (1997)
1562,Batman & Robin (1997)
1565,Head Above Water (1996)
1566,Hercules (1997)
1569,My Best Friend's Wedding (1997)
1573,FaceOff (1997)
1581,Out to Sea (1997)
1582,Wild America (1997)
1583,"Simple Wish, A (1997)"
1585,Love Serenade (1996)
1586,G.I. Jane (1997)
1587,Conan the Barbarian (1982)
1588,George of the Jungle (1997)
1589,Cop Land (1997)
1590,Event Horizon (1997)
1591,Spawn (1997)
1592,Air Bud (1997)
1593,Picture Perfect (1997)
1594,In the Company of Men (1997)
1597,Conspiracy Theory (1997)
1599,Steel (1997)
1600,She's So Lovely (1997)
1601,Hoodlum (1997)
1602,Leave It to Beaver (1997)
1603,Mimic (1997)
1605,Excess Baggage (1997)
1606,Kull the Conqueror (1997)
1608,Air Force One (1997)
1610,"Hunt for Red October, The (1990)"
1611,My Own Private Idaho (1991)
1613,Star Maps (1997)
1614,In & Out (1997)
1615,"Edge, The (1997)"
1616,"Peacemaker, The (1997)"
1617,L.A. Confidential (1997)
1619,Seven Years in Tibet (1997)
1620,Kiss the Girls (1997)
1621,Soul Food (1997)
1624,"Thousand Acres, A (1997)"
1625,"Game, The (1997)"
1626,Fire Down Below (1997)
1627,U Turn (1997)
1631,"Assignment, The (1997)"
1633,Ulee's Gold (1997)
1635,"Ice Storm, The (1997)"
1639,Chasing Amy (1997)
1641,"Full Monty, The (1997)"
1644,I Know What You Did Last Summer (1997)
1645,The Devil's Advocate (1997)
1647,Playing God (1997)
1648,"House of Yes, The (1997)"
1650,Washington Square (1997)
1652,Year of the Horse (1997)
1653,Gattaca (1997)
1654,FairyTale A True Story (1997)
1656,Swept from the Sea (1997)
1658,"Life Less Ordinary, A (1997)"
1659,Hurricane Streets (1997)
1660,Eve's Bayou (1997)
1661,Switchback (1997)
1662,Gang Related (1997)
1663,Stripes (1981)
1665,Bean (1997)
1667,Mad City (1997)
1670,Welcome to Sarajevo (1997)
